"match_id","home_team_id","away_team_id","home_team_rating","away_team_rating"
829513,13,162,7.015,6.6286
829514,184,15,6.2986,7.1343
829515,14,31,6.7143,6.61
829516,26,18,7.2808,6.7662
829517,32,259,6.7071,6.8864
829518,23,167,6.4714,7.2093
829519,171,214,6.715,7.1764
829520,96,24,6.7992,6.7677
829521,175,16,6.5486,6.8714
829522,29,30,6.6593,6.9236
829523,24,23,6.7321,6.6771
829524,15,14,7.6036,6.5579
829525,162,29,6.5729,7.155
829526,31,13,6.7257,6.6693
829527,214,96,6.67,6.8593
829528,167,26,6.9129,6.3014
829529,18,175,6.8531,6.6714
829530,16,32,6.7143,6.7593
829531,259,184,7.0071,6.4871
829532,30,171,7.6521,5.995
829533,24,214,6.835,6.545
829534,184,32,6.9154,6.9036
829535,31,15,6.4285,7.3943
829536,14,13,6.9543,6.9443
829537,167,96,6.4721,7.2229
829538,23,162,6.8607,6.9171
829539,171,16,7.1936,6.6707
829540,259,175,7.4214,6.1557
829541,30,26,6.1943,7.4043
829542,29,18,6.4443,7.1285
829543,13,167,7.1871,6.9879
829544,15,259,7.2993,6.5793
829545,162,184,7.0786,6.805
829546,214,29,7.1814,6.7593
829547,26,24,6.47,6.8093
829548,32,171,7.5171,6.1071
829549,18,23,7.5843,5.9214
829550,96,14,6.845,7.1893
829551,16,30,6.6671,6.9479
829552,175,31,6.3071,7.3423
829553,24,13,5.9921,7.25
829554,184,16,6.9486,7.0236
829555,31,162,6.5329,6.9507
829556,14,32,7.2043,6.6636
829557,167,15,6.84,6.8114
829558,23,214,6.7771,6.9921
829559,171,96,6.8586,6.9308
829560,259,18,6.5746,6.9064
829561,30,175,6.6357,7.1508
829562,29,26,6.9893,6.455
829563,13,30,6.8493,6.8436
829564,15,24,7.2786,6.3431
829565,162,14,7.3938,6.5129
829566,214,167,6.555,7.2843
829567,26,31,6.9146,6.8736
829568,32,29,6.9,6.47
829569,18,171,7.0721,6.6671
829570,96,23,7.0471,6.5786
829571,16,259,6.7107,6.8521
829572,175,184,7.7071,6.0843
829573,14,175,6.7536,7.0321
829574,29,24,6.9114,7.0585
829575,18,96,7.0623,6.5971
829576,167,32,7.0814,6.765
829577,13,32,6.5379,7.0757
829578,184,29,6.6014,7.46
829579,16,13,6.3514,7.2857
829580,23,26,6.9014,6.5423
829581,24,18,6.6923,6.6977
829582,162,15,6.4907,6.9136
829583,259,14,7.1229,6.5036
829584,96,29,7.2875,6.8543
829585,15,175,7.0664,6.3679
829586,31,24,7.3393,6.2229
829587,30,23,6.4857,6.9814
829588,184,214,6.9146,6.7243
829589,162,26,6.95,6.5077
829590,167,30,7.295,6.5921
829591,175,162,6.7431,6.775
829592,26,15,6.625,6.9321
829593,31,29,6.8786,6.6929
829594,23,14,7.2864,6.475
829595,24,167,6.6821,7.205
829596,29,167,6.9379,6.8007
829597,32,162,7.0736,6.4979
829598,214,30,6.6414,6.8814
829599,171,26,6.6636,6.9236
829600,15,13,7.1564,6.555
829601,13,184,7.5821,6.6346
829602,171,167,7.2242,6.9379
829603,14,16,6.9229,6.8546
829604,18,16,7.9393,5.4443
829605,214,162,7.3979,6.46
829606,24,30,6.465,7.0179
829607,18,14,7.1714,6.4829
829608,167,259,6.9971,6.9071
829609,96,259,6.9936,6.6129
829610,14,184,7.015,7.0193
829611,15,171,6.9286,6.8138
829612,16,31,6.6731,7.0043
829613,23,171,7.1071,6.9085
829614,175,32,6.9167,6.7914
829615,26,175,6.9414,6.5914
829616,162,16,6.3762,7.3
829617,259,13,6.9143,6.6136
829618,96,184,6.6514,7.1336
829619,184,31,6.3229,7.2431
829620,32,31,7.0914,6.5843
829621,31,259,6.8343,6.83
829622,30,96,6.5343,6.99
829623,184,24,6.7943,6.7986
829624,26,214,6.8671,7.0093
829625,16,96,7.115,6.4879
829626,214,18,6.3721,7.0954
829627,175,23,6.4307,7.24
829628,184,171,7.1992,6.655
829629,32,15,6.7842,6.9086
829630,259,23,6.8708,6.7814
829631,29,259,7.1921,6.57
829632,162,18,6.3057,7.2693
829633,15,23,7.3764,6.5608
829634,171,24,7.2886,6.5423
829635,30,18,7.0643,6.5958
829636,13,23,7.5093,6.2293
829637,31,96,6.4993,7.1643
829638,162,30,7.0936,6.7038
829639,184,18,7.2908,6.5038
829640,29,171,7.0746,6.5721
829641,14,30,6.7071,7.0479
829642,31,167,6.8592,6.7779
829643,15,214,7.0336,6.4914
829644,13,214,7.0138,6.8971
829645,26,96,7.2369,6.5664
829646,32,23,7.1507,6.465
829647,14,24,6.9957,6.6307
829648,162,96,6.81,6.9408
829649,32,214,7.3079,6.3129
829650,16,214,6.2886,7.2514
829651,32,18,6.6043,6.8221
829652,31,171,7.1993,6.3331
829653,171,14,7.3093,6.9329
829654,259,24,6.8521,6.6562
829655,16,26,6.3071,7.2162
829656,14,167,6.5029,7.1121
829657,18,167,6.3379,7.4129
829658,175,167,6.4457,7.0821
829659,259,29,6.8386,6.8615
829660,32,26,7.6386,6.425
829661,16,15,7.0546,7.02
829662,24,16,6.8364,6.7521
829663,175,214,6.9923,6.5871
829664,16,29,6.71,6.9583
829665,259,162,6.9415,6.6657
829666,214,14,6.7179,7.1579
829667,24,26,6.4623,7.3429
829668,259,30,6.7671,7.0414
829669,30,31,6.92,6.6492
829670,26,259,7.3021,6.4014
829671,184,162,6.8143,6.96
829672,175,24,7.1,6.5307
829673,175,13,6.4093,7.3092
829674,167,184,6.7764,7.2764
829675,31,175,6.8415,6.8671
829676,24,32,6.7869,6.7429
829677,29,23,7.0754,6.4071
829678,23,31,6.9754,6.5693
829679,14,96,6.5279,7.3246
829680,214,259,6.6136,7.0686
829681,13,18,7.4715,6.5871
829682,171,162,6.9685,7.2775
829683,167,13,6.5329,7.8271
829684,26,13,7.0792,6.8507
829685,184,23,6.7854,6.7586
829686,18,15,6.6886,6.7457
829687,23,18,6.5793,7.0514
829688,167,162,7.3821,6.4514
829689,14,26,6.4375,7.2436
829690,96,175,7.205,6.4664
829691,171,32,6.5586,7.3671
829692,23,16,6.5821,7.2214
829693,32,96,7.0036,6.4708
829694,30,32,7.1031,6.935
829695,259,15,6.0757,7.7893
829696,171,175,7.1029,6.8015
829697,259,171,7.4121,6.6042
829698,29,13,6.7493,7.2792
829699,30,16,7.0079,6.6079
829700,18,31,7.5685,6.3264
829701,162,24,6.6362,7.2977
829702,24,162,6.8321,6.8931
829703,29,214,7.595,6.4236
829704,96,15,6.4957,7.5179
829705,175,29,6.6507,7.08
829706,214,31,7.4371,6.3762
829707,13,24,8.0093,6.0121
829708,30,184,7.24,6.6064
829709,15,30,7.3507,6.4136
829710,26,14,6.7964,6.7964
829711,15,167,6.8179,6.7121
829712,29,14,7.335,6.4736
829713,31,214,6.8731,6.7479
829714,167,16,7.1586,6.6679
829715,162,31,6.7271,7.3362
829716,13,171,7.0754,6.5521
829717,16,167,6.2323,7.3771
829718,23,184,6.8264,7.0064
829719,184,26,6.5629,7.1893
829720,24,14,7.1236,6.5629
829721,171,259,7.1158,6.9477
829722,15,29,7.3793,6.5271
829723,214,175,6.8057,6.8243
829724,18,13,7.2714,6.2862
829725,26,16,7.1115,6.8921
829726,96,32,6.8342,6.695
829727,167,31,7.045,6.6546
829728,30,15,7.2607,6.6631
829729,23,15,7.0807,6.86
829730,29,175,6.8429,6.7071
829731,171,184,7.4379,6.6207
829732,13,96,7.4986,6.2536
829733,18,32,6.5185,6.9786
829734,96,13,6.9279,6.6286
829735,30,162,7.1593,7.1617
829736,96,16,6.8757,6.9233
829737,162,175,6.5557,7.4114
829738,24,29,6.9079,6.5093
829739,175,26,7.0357,6.8262
829740,32,30,7.4486,6.1407
829741,32,167,7.2164,6.5729
829742,30,14,7.0864,6.8286
829743,171,23,7.1729,7.0457
829744,18,162,7.1893,6.75
829745,15,26,6.7357,6.8243
